image name,instagram caption,instagram post link,number of images in that post (1 - 6),"format (jpg, jpeg, heic, heif)",enhancement,"Upload quality (original, resized)",account info,
1_03_1_fil_cr_ins_nmo_Vale,YJ 1_03_1_fil_cr_ins_nmo_Vale,https://www.instagram.com/p/CCpob6KFGBO/,1,jpg,Valencia,original,iaslab_enhanced,
1_03_1_fil_cr_ins_nmo_X-Pr,YJ 1_03_1_fil_cr_ins_nmo_X-Pr,https://www.instagram.com/p/CCpzVqCJkK0/,1,jpg,X-Pro II,original,iaslab_filt_1,
1_03_1_fil_cr_ins_nmo_Sier,YJ 1_03_1_fil_cr_ins_nmo_Sier,https://www.instagram.com/p/CEDe-3PFgbu/,1,jpg,Sierra,original,iaslab_filt_0,
1_03_1_fil_cr_ins_nmo_Will,YJ 1_03_1_fil_cr_ins_nmo_Will,https://www.instagram.com/p/CCp2GuzJ7bi/,1,jpg,Willow,original,iaslab_filt_1,
1_03_1_fil_cr_ins_nmo_Lo-F,YJ 1_03_1_fil_cr_ins_nmo_Lo-F,https://www.instagram.com/p/CCp2OWap8ig/,1,jpg,Lo-Fi,original,iaslab_filt_1,
1_03_1_fil_cr_ins_nmo_Inkw,YJ 1_03_1_fil_cr_ins_nmo_Inkw,https://www.instagram.com/p/CCp2U8rJ8wK/,1,jpg,Inkwell,original,iaslab_filt_1,
1_03_1_fil_cr_ins_nmo_Hefe,YJ 1_03_1_fil_cr_ins_nmo_Hefe,https://www.instagram.com/p/CCp2mATp9Tz/,1,jpg,Hefe,original,iaslab_filt_1,
1_03_1_fil_cr_ins_nmo_Nash,YJ 1_03_1_fil_cr_ins_nmo_Nash,https://www.instagram.com/p/CCp2sivp7Mg/,1,jpg,Nashville,original,iaslab_filt_1,
1_03_1_fil_cr_ins_nmo_Stin,YJ 1_03_1_fil_cr_ins_nmo_Stin,https://www.instagram.com/p/CCp20rGpspn/,1,jpg,Stinson,original,iaslab_filt_1,
1_03_1_fil_cr_ins_nmo_Vesp,YJ 1_03_1_fil_cr_ins_nmo_Vesp,https://www.instagram.com/p/CCp26n9JcrJ/,1,jpg,Vesper,original,iaslab_filt_1,
1_03_1_fil_cr_ins_nmo_Earl,YJ 1_03_1_fil_cr_ins_nmo_Earl,https://www.instagram.com/p/CCp3CidpOTR/,1,jpg,Earlybird,original,iaslab_filt_1,
1_03_1_fil_cr_ins_nmo_Bran,YJ 1_03_1_fil_cr_ins_nmo_Bran,https://www.instagram.com/p/CCp3ILZJxw1/,1,jpg,Brannan,original,iaslab_filt_1,
1_03_1_fil_cr_ins_nmo_Sutr,YJ 1_03_1_fil_cr_ins_nmo_Sutr,https://www.instagram.com/p/CCp3OJgp_Mt/,1,jpg,Sutro,original,iaslab_filt_1,
1_03_1_fil_cr_ins_nmo_Toas,YJ 1_03_1_fil_cr_ins_nmo_Toas,https://www.instagram.com/p/CCp3Ug_pmH6/,1,jpg,Toaster,original,iaslab_filt_1,
